DATE,EXPTOTMD
1995-08-01,288.2
1995-09-01,640.3
1995-10-01,406.7
1995-11-01,402.0
1995-12-01,595.1
1996-01-01,372.3
1996-02-01,419.8
1996-03-01,450.1
1996-04-01,469.3
1996-05-01,519.9
1996-06-01,473.2
1996-07-01,344.1
1996-08-01,367.2
1996-09-01,358.5
1996-10-01,418.9
1996-11-01,405.3
1996-12-01,420.1
1997-01-01,345.7
1997-02-01,378.1
1997-03-01,469.5
1997-04-01,492.8
1997-05-01,479.3
1997-06-01,504.8
1997-07-01,486.4
1997-08-01,349.7
1997-09-01,388.2
1997-10-01,479.6
1997-11-01,399.9
1997-12-01,440.1
1998-01-01,374.1
1998-02-01,362.4
1998-03-01,463.7
1998-04-01,440.8
1998-05-01,384.3
1998-06-01,398.2
1998-07-01,387.0
1998-08-01,339.5
1998-09-01,374.3
1998-10-01,420.3
1998-11-01,359.3
1998-12-01,417.6
1999-01-01,311.9
1999-02-01,280.4
1999-03-01,352.1
1999-04-01,329.0
1999-05-01,323.4
1999-06-01,326.9
1999-07-01,305.8
1999-08-01,339.0
1999-09-01,320.7
1999-10-01,369.3
1999-11-01,402.1
1999-12-01,348.7
2000-01-01,332.2
2000-02-01,293.8
2000-03-01,359.7
2000-04-01,315.2
2000-05-01,365.0
2000-06-01,378.1
2000-07-01,394.3
2000-08-01,406.0
2000-09-01,410.4
2000-10-01,436.1
2000-11-01,497.0
2000-12-01,404.9
2001-01-01,370.3
2001-02-01,433.0
2001-03-01,444.8
2001-04-01,453.1
2001-05-01,441.0
2001-06-01,398.3
2001-07-01,389.3
2001-08-01,591.6
2001-09-01,349.1
2001-10-01,413.0
2001-11-01,326.6
2001-12-01,364.9
2002-01-01,385.6
2002-02-01,364.6
2002-03-01,396.4
2002-04-01,337.2
2002-05-01,443.2
2002-06-01,344.1
2002-07-01,408.9
2002-08-01,384.7
2002-09-01,326.5
2002-10-01,361.5
2002-11-01,378.1
2002-12-01,342.7
2003-01-01,354.3
2003-02-01,332.7
2003-03-01,422.1
2003-04-01,363.4
2003-05-01,388.2
2003-06-01,393.7
2003-07-01,385.6
2003-08-01,436.6
2003-09-01,496.7
2003-10-01,484.5
2003-11-01,444.5
2003-12-01,438.2
2004-01-01,404.3
2004-02-01,417.5
2004-03-01,480.5
2004-04-01,550.8
2004-05-01,510.7
2004-06-01,479.1
2004-07-01,434.0
2004-08-01,470.9
2004-09-01,483.6
2004-10-01,484.4
2004-11-01,488.7
2004-12-01,531.2
2005-01-01,558.9
2005-02-01,496.1
2005-03-01,651.0
2005-04-01,664.7
2005-05-01,573.6
2005-06-01,692.4
2005-07-01,505.6
2005-08-01,601.7
2005-09-01,611.2
2005-10-01,570.9
2005-11-01,651.1
2005-12-01,541.9
2006-01-01,467.7
2006-02-01,518.6
2006-03-01,629.6
2006-04-01,656.9
2006-05-01,810.1
2006-06-01,606.1
2006-07-01,515.6
2006-08-01,719.4
2006-09-01,631.0
2006-10-01,671.0
2006-11-01,716.8
2006-12-01,655.1
2007-01-01,748.8
2007-02-01,593.4
2007-03-01,739.9
2007-04-01,696.0
2007-05-01,663.5
2007-06-01,771.4
2007-07-01,727.5
2007-08-01,723.3
2007-09-01,718.7
2007-10-01,809.8
2007-11-01,718.3
2007-12-01,1034.9
2008-01-01,891.5
2008-02-01,880.3
2008-03-01,973.4
2008-04-01,920.5
2008-05-01,998.5
2008-06-01,1022.1
2008-07-01,1162.1
2008-08-01,821.7
2008-09-01,908.2
2008-10-01,1111.5
2008-11-01,824.4
2008-12-01,864.4
2009-01-01,632.1
2009-02-01,734.8
2009-03-01,782.0
2009-04-01,711.0
2009-05-01,729.7
2009-06-01,661.7
2009-07-01,802.6
2009-08-01,795.5
2009-09-01,851.9
2009-10-01,910.2
2009-11-01,766.0
2009-12-01,851.8
2010-01-01,708.2
2010-02-01,697.5
2010-03-01,848.5
2010-04-01,823.1
2010-05-01,936.5
2010-06-01,842.2
2010-07-01,904.9
2010-08-01,836.9
2010-09-01,884.8
2010-10-01,916.7
2010-11-01,899.8
2010-12-01,869.2
2011-01-01,788.9
2011-02-01,762.1
2011-03-01,999.3
2011-04-01,976.9
2011-05-01,884.6
2011-06-01,854.0
2011-07-01,856.1
2011-08-01,868.8
2011-09-01,927.9
2011-10-01,985.7
2011-11-01,996.1
2011-12-01,978.8
2012-01-01,861.3
2012-02-01,993.5
2012-03-01,1063.6
2012-04-01,996.3
2012-05-01,960.2
2012-06-01,922.8
2012-07-01,895.6
2012-08-01,1002.6
2012-09-01,997.2
2012-10-01,933.3
2012-11-01,1165.1
2012-12-01,989.8
2013-01-01,917.878857
2013-02-01,910.534942
2013-03-01,1072.673441
2013-04-01,994.766321
2013-05-01,1042.717878
2013-06-01,1079.164442
2013-07-01,995.852521
2013-08-01,1013.633026
2013-09-01,923.099687
2013-10-01,980.942279
2013-11-01,870.479851
2013-12-01,944.974738
2014-01-01,806.393835
2014-02-01,989.97415
2014-03-01,1078.712529
2014-04-01,1117.760495
2014-05-01,1117.719914
2014-06-01,1068.548927
2014-07-01,1038.55875
2014-08-01,967.649668
2014-09-01,1014.540812
2014-10-01,1164.356773
2014-11-01,881.822614
2014-12-01,982.242247
2015-01-01,792.081989
2015-02-01,711.006
2015-03-01,893.518502
2015-04-01,835.390995
2015-05-01,927.760002
2015-06-01,949.544187
2015-07-01,827.658384
2015-08-01,777.150738
2015-09-01,756.040797
2015-10-01,840.569729
2015-11-01,885.001753
2015-12-01,856.373735
2016-01-01,679.985071
2016-02-01,812.139953
2016-03-01,893.094235
2016-04-01,922.160378
2016-05-01,851.857884
2016-06-01,865.53525
2016-07-01,840.084439
2016-08-01,762.422986
2016-09-01,741.841463
2016-10-01,751.112446
2016-11-01,726.202304
2016-12-01,809.552286
2017-01-01,663.359966
2017-02-01,626.033281
2017-03-01,792.53439
2017-04-01,815.080529
2017-05-01,866.439063
2017-06-01,780.778193
2017-07-01,707.045247
2017-08-01,785.703453
2017-09-01,830.037759
2017-10-01,863.529941
2017-11-01,760.419421
2017-12-01,826.208204
2018-01-01,796.465899
2018-02-01,924.975275
2018-03-01,961.993948
2018-04-01,984.408879
2018-05-01,1176.69222
2018-06-01,1056.309665
2018-07-01,975.438497
2018-08-01,1038.981249
2018-09-01,1026.294862
2018-10-01,1064.975093
2018-11-01,965.936741
2018-12-01,1129.853116
2019-01-01,1004.205077
2019-02-01,999.659666
2019-03-01,1127.366028
2019-04-01,1014.086585
2019-05-01,1046.430667
2019-06-01,1126.534566
2019-07-01,1103.837288
2019-08-01,1083.21493
2019-09-01,1072.040395
2019-10-01,1269.718346
