DATE,EXPTOTNC
1995-08-01,1118.6
1995-09-01,1178.8
1995-10-01,1193.2
1995-11-01,1385.6
1995-12-01,1234.1
1996-01-01,1121.9
1996-02-01,1342.1
1996-03-01,1418.6
1996-04-01,1310.9
1996-05-01,1351.4
1996-06-01,1376.8
1996-07-01,1134.2
1996-08-01,1151.7
1996-09-01,1319.1
1996-10-01,1418.3
1996-11-01,1398.8
1996-12-01,1390.4
1997-01-01,1146.0
1997-02-01,1373.2
1997-03-01,1503.0
1997-04-01,1362.8
1997-05-01,1428.7
1997-06-01,1366.3
1997-07-01,1162.6
1997-08-01,1336.0
1997-09-01,1356.9
1997-10-01,1411.1
1997-11-01,1491.4
1997-12-01,1464.2
1998-01-01,1209.2
1998-02-01,1319.9
1998-03-01,1513.7
1998-04-01,1371.2
1998-05-01,1334.7
1998-06-01,1322.1
1998-07-01,1135.7
1998-08-01,1239.3
1998-09-01,1239.7
1998-10-01,1376.2
1998-11-01,1265.8
1998-12-01,1378.0
1999-01-01,1125.0
1999-02-01,1243.0
1999-03-01,1342.2
1999-04-01,1192.3
1999-05-01,1275.0
1999-06-01,1250.3
1999-07-01,1122.1
1999-08-01,1147.3
1999-09-01,1269.1
1999-10-01,1371.2
1999-11-01,1366.3
1999-12-01,1303.3
2000-01-01,1126.1
2000-02-01,1445.7
2000-03-01,1672.1
2000-04-01,1431.5
2000-05-01,1346.4
2000-06-01,1615.0
2000-07-01,1399.3
2000-08-01,1590.3
2000-09-01,1545.7
2000-10-01,1531.0
2000-11-01,1611.9
2000-12-01,1630.9
2001-01-01,1364.3
2001-02-01,1494.1
2001-03-01,1665.4
2001-04-01,1559.0
2001-05-01,1480.5
2001-06-01,1485.5
2001-07-01,1269.8
2001-08-01,1387.9
2001-09-01,1242.8
2001-10-01,1312.7
2001-11-01,1262.8
2001-12-01,1274.1
2002-01-01,1147.2
2002-02-01,1133.4
2002-03-01,1386.8
2002-04-01,1198.0
2002-05-01,1272.8
2002-06-01,1280.8
2002-07-01,1178.2
2002-08-01,1196.8
2002-09-01,1256.7
2002-10-01,1264.2
2002-11-01,1280.4
2002-12-01,1123.2
2003-01-01,1188.9
2003-02-01,1230.8
2003-03-01,1488.1
2003-04-01,1330.2
2003-05-01,1290.5
2003-06-01,1551.9
2003-07-01,1243.9
2003-08-01,1463.3
2003-09-01,1302.9
2003-10-01,1431.6
2003-11-01,1410.0
2003-12-01,1266.6
2004-01-01,1364.3
2004-02-01,1602.9
2004-03-01,1716.6
2004-04-01,1511.5
2004-05-01,1599.1
2004-06-01,1523.8
2004-07-01,1422.0
2004-08-01,1495.4
2004-09-01,1479.8
2004-10-01,1533.3
2004-11-01,1397.1
2004-12-01,1434.6
2005-01-01,1437.7
2005-02-01,1539.5
2005-03-01,1660.8
2005-04-01,1593.8
2005-05-01,1629.9
2005-06-01,1712.3
2005-07-01,1567.6
2005-08-01,1602.6
2005-09-01,1686.2
2005-10-01,1686.2
2005-11-01,1691.3
2005-12-01,1655.4
2006-01-01,1639.8
2006-02-01,1608.2
2006-03-01,2100.3
2006-04-01,1685.3
2006-05-01,1817.7
2006-06-01,1918.1
2006-07-01,1607.4
2006-08-01,1766.8
2006-09-01,1747.3
2006-10-01,1819.3
2006-11-01,1751.6
2006-12-01,1756.5
2007-01-01,1890.0
2007-02-01,1839.3
2007-03-01,2104.2
2007-04-01,1742.3
2007-05-01,1944.7
2007-06-01,1902.1
2007-07-01,1691.2
2007-08-01,2044.7
2007-09-01,1967.4
2007-10-01,2068.1
2007-11-01,2002.1
2007-12-01,2150.9
2008-01-01,1924.7
2008-02-01,2020.5
2008-03-01,2171.6
2008-04-01,2089.9
2008-05-01,2398.0
2008-06-01,2132.7
2008-07-01,2147.3
2008-08-01,2127.0
2008-09-01,2093.0
2008-10-01,2131.4
2008-11-01,2101.2
2008-12-01,1738.6
2009-01-01,1485.6
2009-02-01,1751.0
2009-03-01,2044.7
2009-04-01,1834.7
2009-05-01,1897.5
2009-06-01,2080.0
2009-07-01,1642.0
2009-08-01,1688.7
2009-09-01,1714.8
2009-10-01,1950.3
2009-11-01,1852.2
2009-12-01,1847.9
2010-01-01,1849.4
2010-02-01,2077.4
2010-03-01,2196.0
2010-04-01,2121.2
2010-05-01,2102.5
2010-06-01,2044.4
2010-07-01,2112.0
2010-08-01,1963.7
2010-09-01,2016.9
2010-10-01,2099.8
2010-11-01,2094.7
2010-12-01,2139.3
2011-01-01,2037.2
2011-02-01,2107.9
2011-03-01,2390.2
2011-04-01,2335.2
2011-05-01,2291.3
2011-06-01,2167.6
2011-07-01,2112.6
2011-08-01,2304.9
2011-09-01,2253.9
2011-10-01,2409.5
2011-11-01,2272.7
2011-12-01,2281.1
2012-01-01,2046.7
2012-02-01,2259.2
2012-03-01,2555.8
2012-04-01,2275.5
2012-05-01,2475.9
2012-06-01,2404.5
2012-07-01,2305.1
2012-08-01,2433.9
2012-09-01,2516.3
2012-10-01,2680.0
2012-11-01,2403.5
2012-12-01,2390.6
2013-01-01,2315.759149
2013-02-01,2284.405893
2013-03-01,2609.022288
2013-04-01,2540.233196
2013-05-01,2594.053438
2013-06-01,2518.957248
2013-07-01,2404.907668
2013-08-01,2436.59447
2013-09-01,2398.082724
2013-10-01,2506.337103
2013-11-01,2479.874664
2013-12-01,2258.894704
2014-01-01,2278.955077
2014-02-01,2420.977746
2014-03-01,2775.774375
2014-04-01,2540.058596
2014-05-01,2575.25654
2014-06-01,2739.956623
2014-07-01,2529.331513
2014-08-01,2831.393849
2014-09-01,2616.674235
2014-10-01,2803.173536
2014-11-01,2697.222046
2014-12-01,2611.226917
2015-01-01,2478.442088
2015-02-01,2369.512945
2015-03-01,2807.585228
2015-04-01,2707.537331
2015-05-01,2383.495801
2015-06-01,2460.873713
2015-07-01,2591.367233
2015-08-01,2485.353481
2015-09-01,2531.925635
2015-10-01,2560.084288
2015-11-01,2415.707279
2015-12-01,2409.901497
2016-01-01,2234.579527
2016-02-01,2533.630952
2016-03-01,2674.983258
2016-04-01,2548.39745
2016-05-01,2358.52176
2016-06-01,2494.209812
2016-07-01,2416.143889
2016-08-01,2552.844279
2016-09-01,2561.189595
2016-10-01,2618.642949
2016-11-01,2613.098266
2016-12-01,2577.034903
2017-01-01,2205.16095
2017-02-01,2489.032847
2017-03-01,2936.540592
2017-04-01,2924.067231
2017-05-01,2742.079873
2017-06-01,2909.516077
2017-07-01,2711.173206
2017-08-01,2845.849323
2017-09-01,2436.832003
2017-10-01,3100.014637
2017-11-01,2630.712208
2017-12-01,2688.789685
2018-01-01,2751.265933
2018-02-01,2606.531601
2018-03-01,3050.324505
2018-04-01,2870.967372
2018-05-01,3064.322384
2018-06-01,2772.090118
2018-07-01,2431.709053
2018-08-01,2716.857524
2018-09-01,2480.630971
2018-10-01,2845.449803
2018-11-01,2709.242833
2018-12-01,2462.108773
2019-01-01,3156.695459
2019-02-01,2479.023372
2019-03-01,3639.047989
2019-04-01,2672.524383
2019-05-01,2822.808801
2019-06-01,2759.878853
2019-07-01,2778.955753
2019-08-01,2789.574798
2019-09-01,2747.175512
2019-10-01,3175.691263
