DATE,EXPTOTND
1995-08-01,42.5
1995-09-01,41.3
1995-10-01,44.9
1995-11-01,38.8
1995-12-01,38.9
1996-01-01,53.1
1996-02-01,50.0
1996-03-01,72.2
1996-04-01,59.7
1996-05-01,58.6
1996-06-01,62.3
1996-07-01,48.6
1996-08-01,49.0
1996-09-01,49.0
1996-10-01,70.2
1996-11-01,75.8
1996-12-01,58.0
1997-01-01,58.3
1997-02-01,60.2
1997-03-01,78.6
1997-04-01,61.6
1997-05-01,66.1
1997-06-01,66.2
1997-07-01,66.0
1997-08-01,58.5
1997-09-01,59.1
1997-10-01,70.7
1997-11-01,69.3
1997-12-01,63.4
1998-01-01,59.5
1998-02-01,59.2
1998-03-01,78.8
1998-04-01,83.7
1998-05-01,69.0
1998-06-01,64.1
1998-07-01,68.8
1998-08-01,51.1
1998-09-01,58.1
1998-10-01,53.4
1998-11-01,52.3
1998-12-01,51.5
1999-01-01,39.6
1999-02-01,59.1
1999-03-01,80.6
1999-04-01,85.0
1999-05-01,67.1
1999-06-01,64.8
1999-07-01,46.1
1999-08-01,47.3
1999-09-01,40.6
1999-10-01,55.3
1999-11-01,45.4
1999-12-01,68.4
2000-01-01,44.7
2000-02-01,65.3
2000-03-01,58.5
2000-04-01,50.7
2000-05-01,47.5
2000-06-01,47.1
2000-07-01,40.5
2000-08-01,43.0
2000-09-01,51.1
2000-10-01,68.4
2000-11-01,51.5
2000-12-01,57.6
2001-01-01,55.4
2001-02-01,50.1
2001-03-01,82.5
2001-04-01,75.3
2001-05-01,80.2
2001-06-01,64.9
2001-07-01,62.9
2001-08-01,64.6
2001-09-01,62.3
2001-10-01,70.3
2001-11-01,71.8
2001-12-01,65.9
2002-01-01,62.5
2002-02-01,72.9
2002-03-01,81.5
2002-04-01,74.0
2002-05-01,69.3
2002-06-01,65.1
2002-07-01,76.6
2002-08-01,60.0
2002-09-01,79.1
2002-10-01,66.1
2002-11-01,71.2
2002-12-01,81.1
2003-01-01,73.6
2003-02-01,62.8
2003-03-01,69.1
2003-04-01,80.9
2003-05-01,73.9
2003-06-01,70.8
2003-07-01,79.1
2003-08-01,67.2
2003-09-01,59.5
2003-10-01,69.0
2003-11-01,60.9
2003-12-01,87.4
2004-01-01,78.3
2004-02-01,76.6
2004-03-01,88.3
2004-04-01,80.6
2004-05-01,76.5
2004-06-01,79.6
2004-07-01,79.1
2004-08-01,70.4
2004-09-01,89.7
2004-10-01,93.9
2004-11-01,96.6
2004-12-01,92.8
2005-01-01,82.8
2005-02-01,94.1
2005-03-01,125.2
2005-04-01,94.2
2005-05-01,108.1
2005-06-01,102.8
2005-07-01,86.0
2005-08-01,97.6
2005-09-01,97.9
2005-10-01,95.4
2005-11-01,92.6
2005-12-01,108.6
2006-01-01,124.9
2006-02-01,132.2
2006-03-01,126.5
2006-04-01,123.2
2006-05-01,124.7
2006-06-01,153.0
2006-07-01,107.3
2006-08-01,134.5
2006-09-01,124.3
2006-10-01,120.0
2006-11-01,97.7
2006-12-01,140.6
2007-01-01,146.0
2007-02-01,154.5
2007-03-01,148.7
2007-04-01,158.3
2007-05-01,176.9
2007-06-01,163.6
2007-07-01,154.7
2007-08-01,154.1
2007-09-01,163.0
2007-10-01,194.8
2007-11-01,217.7
2007-12-01,201.1
2008-01-01,242.8
2008-02-01,268.1
2008-03-01,227.0
2008-04-01,264.0
2008-05-01,276.1
2008-06-01,254.2
2008-07-01,225.7
2008-08-01,203.3
2008-09-01,206.0
2008-10-01,231.0
2008-11-01,198.1
2008-12-01,163.4
2009-01-01,161.3
2009-02-01,196.5
2009-03-01,204.2
2009-04-01,160.2
2009-05-01,152.7
2009-06-01,167.9
2009-07-01,176.8
2009-08-01,192.3
2009-09-01,200.0
2009-10-01,195.6
2009-11-01,190.8
2009-12-01,179.7
2010-01-01,158.9
2010-02-01,179.6
2010-03-01,202.4
2010-04-01,203.1
2010-05-01,209.9
2010-06-01,208.8
2010-07-01,200.7
2010-08-01,222.1
2010-09-01,231.8
2010-10-01,249.4
2010-11-01,240.6
2010-12-01,214.6
2011-01-01,211.3
2011-02-01,254.0
2011-03-01,313.1
2011-04-01,295.1
2011-05-01,288.0
2011-06-01,287.2
2011-07-01,291.1
2011-08-01,299.5
2011-09-01,275.1
2011-10-01,285.7
2011-11-01,298.7
2011-12-01,280.3
2012-01-01,321.3
2012-02-01,352.7
2012-03-01,377.8
2012-04-01,351.9
2012-05-01,306.1
2012-06-01,336.4
2012-07-01,386.9
2012-08-01,380.1
2012-09-01,350.8
2012-10-01,422.7
2012-11-01,355.5
2012-12-01,345.3
2013-01-01,321.822901
2013-02-01,283.099359
2013-03-01,465.448665
2013-04-01,429.830098
2013-05-01,425.399601
2013-06-01,367.342671
2013-07-01,303.238803
2013-08-01,345.447324
2013-09-01,314.086786
2013-10-01,365.509151
2013-11-01,408.561837
2013-12-01,371.912211
2014-01-01,331.494701
2014-02-01,391.417428
2014-03-01,453.732303
2014-04-01,510.81861
2014-05-01,430.901723
2014-06-01,469.810385
2014-07-01,512.410167
2014-08-01,480.747106
2014-09-01,504.125286
2014-10-01,405.317753
2014-11-01,567.871149
2014-12-01,454.431765
2015-01-01,359.313795
2015-02-01,324.165083
2015-03-01,419.37434
2015-04-01,367.002667
2015-05-01,346.664874
2015-06-01,319.856335
2015-07-01,319.406729
2015-08-01,334.954448
2015-09-01,267.767127
2015-10-01,271.32587
2015-11-01,346.192845
2015-12-01,351.196451
2016-01-01,397.0553
2016-02-01,341.319286
2016-03-01,482.983897
2016-04-01,431.199416
2016-05-01,553.104682
2016-06-01,538.207327
2016-07-01,426.990134
2016-08-01,484.489257
2016-09-01,415.912601
2016-10-01,495.346538
2016-11-01,396.438951
2016-12-01,331.155552
2017-01-01,436.198519
2017-02-01,455.047812
2017-03-01,470.638715
2017-04-01,453.738145
2017-05-01,469.561039
2017-06-01,377.002256
2017-07-01,529.971731
2017-08-01,525.138625
2017-09-01,470.684315
2017-10-01,435.021374
2017-11-01,567.377875
2017-12-01,655.543152
2018-01-01,621.60369
2018-02-01,665.715124
2018-03-01,700.355636
2018-04-01,751.180153
2018-05-01,788.030233
2018-06-01,760.596635
2018-07-01,765.076292
2018-08-01,696.653624
2018-09-01,582.319657
2018-10-01,513.997674
2018-11-01,563.944862
2018-12-01,484.603918
2019-01-01,510.981641
2019-02-01,576.676301
2019-03-01,548.187945
2019-04-01,595.18281
2019-05-01,557.551611
2019-06-01,524.653179
2019-07-01,539.094072
2019-08-01,563.506529
2019-09-01,575.760476
2019-10-01,564.299515
