DATE,EXPTOTPA
1995-08-01,1098.1
1995-09-01,1230.7
1995-10-01,1207.6
1995-11-01,1092.5
1995-12-01,1078.8
1996-01-01,1092.1
1996-02-01,1246.1
1996-03-01,1259.6
1996-04-01,1182.4
1996-05-01,1216.4
1996-06-01,1180.0
1996-07-01,1071.8
1996-08-01,1204.2
1996-09-01,1167.2
1996-10-01,1289.9
1996-11-01,1236.8
1996-12-01,1217.9
1997-01-01,1191.5
1997-02-01,1171.4
1997-03-01,1369.0
1997-04-01,1462.5
1997-05-01,1344.5
1997-06-01,1308.0
1997-07-01,1270.9
1997-08-01,1296.0
1997-09-01,1376.8
1997-10-01,1513.0
1997-11-01,1357.1
1997-12-01,1408.2
1998-01-01,1309.9
1998-02-01,1285.8
1998-03-01,1447.3
1998-04-01,1360.5
1998-05-01,1338.2
1998-06-01,1309.9
1998-07-01,1219.5
1998-08-01,1289.9
1998-09-01,1382.8
1998-10-01,1428.6
1998-11-01,1353.1
1998-12-01,1248.7
1999-01-01,1215.9
1999-02-01,1280.2
1999-03-01,1422.2
1999-04-01,1308.6
1999-05-01,1312.1
1999-06-01,1348.0
1999-07-01,1258.4
1999-08-01,1319.1
1999-09-01,1361.1
1999-10-01,1471.1
1999-11-01,1460.8
1999-12-01,1412.9
2000-01-01,1309.4
2000-02-01,1503.1
2000-03-01,1620.1
2000-04-01,1545.9
2000-05-01,1572.1
2000-06-01,1738.1
2000-07-01,1440.8
2000-08-01,1662.4
2000-09-01,1600.4
2000-10-01,1670.4
2000-11-01,1634.6
2000-12-01,1495.2
2001-01-01,1662.9
2001-02-01,1477.5
2001-03-01,1669.8
2001-04-01,1577.2
2001-05-01,1559.2
2001-06-01,1538.5
2001-07-01,1288.8
2001-08-01,1425.0
2001-09-01,1283.5
2001-10-01,1399.4
2001-11-01,1297.8
2001-12-01,1253.4
2002-01-01,1225.4
2002-02-01,1226.4
2002-03-01,1365.2
2002-04-01,1294.4
2002-05-01,1377.7
2002-06-01,1371.9
2002-07-01,1244.5
2002-08-01,1301.2
2002-09-01,1322.4
2002-10-01,1406.9
2002-11-01,1341.9
2002-12-01,1289.8
2003-01-01,1277.7
2003-02-01,1192.4
2003-03-01,1470.6
2003-04-01,1357.6
2003-05-01,1468.6
2003-06-01,1368.9
2003-07-01,1260.4
2003-08-01,1305.7
2003-09-01,1379.6
2003-10-01,1508.2
2003-11-01,1428.5
2003-12-01,1280.8
2004-01-01,1337.7
2004-02-01,1449.7
2004-03-01,1624.1
2004-04-01,1541.5
2004-05-01,1605.7
2004-06-01,1536.7
2004-07-01,1497.1
2004-08-01,1435.2
2004-09-01,1597.2
2004-10-01,1723.5
2004-11-01,1460.3
2004-12-01,1620.1
2005-01-01,1533.0
2005-02-01,1694.9
2005-03-01,1828.3
2005-04-01,1899.9
2005-05-01,1867.8
2005-06-01,1872.2
2005-07-01,1700.0
2005-08-01,2056.5
2005-09-01,1906.3
2005-10-01,1919.0
2005-11-01,1957.7
2005-12-01,2035.3
2006-01-01,1799.7
2006-02-01,1932.4
2006-03-01,2329.4
2006-04-01,2103.3
2006-05-01,2177.3
2006-06-01,2305.5
2006-07-01,2071.8
2006-08-01,2285.8
2006-09-01,2365.3
2006-10-01,2472.2
2006-11-01,2301.7
2006-12-01,2189.6
2007-01-01,2178.9
2007-02-01,2126.6
2007-03-01,2519.4
2007-04-01,2469.1
2007-05-01,2478.0
2007-06-01,2494.5
2007-07-01,2272.4
2007-08-01,2537.3
2007-09-01,2479.5
2007-10-01,2634.2
2007-11-01,2509.3
2007-12-01,2427.8
2008-01-01,2540.8
2008-02-01,2552.8
2008-03-01,2980.3
2008-04-01,2854.1
2008-05-01,3167.7
2008-06-01,2981.9
2008-07-01,3148.6
2008-08-01,3083.1
2008-09-01,3078.0
2008-10-01,2991.2
2008-11-01,2654.2
2008-12-01,2415.7
2009-01-01,2087.1
2009-02-01,2313.3
2009-03-01,2485.0
2009-04-01,2038.8
2009-05-01,2365.1
2009-06-01,2414.8
2009-07-01,2367.0
2009-08-01,2488.1
2009-09-01,2527.6
2009-10-01,2576.5
2009-11-01,2314.2
2009-12-01,2275.7
2010-01-01,2433.5
2010-02-01,2338.9
2010-03-01,3292.1
2010-04-01,2898.0
2010-05-01,3051.3
2010-06-01,2971.0
2010-07-01,2994.5
2010-08-01,2991.5
2010-09-01,3028.0
2010-10-01,3012.7
2010-11-01,2929.8
2010-12-01,2885.0
2011-01-01,2908.8
2011-02-01,2987.6
2011-03-01,3705.9
2011-04-01,3502.7
2011-05-01,3615.8
2011-06-01,3550.5
2011-07-01,3251.7
2011-08-01,3581.4
2011-09-01,3522.0
2011-10-01,3702.6
2011-11-01,3372.0
2011-12-01,3328.7
2012-01-01,3197.0
2012-02-01,3226.7
2012-03-01,3854.8
2012-04-01,3279.9
2012-05-01,3421.4
2012-06-01,3304.3
2012-07-01,2878.6
2012-08-01,3171.4
2012-09-01,3097.2
2012-10-01,3395.8
2012-11-01,2965.4
2012-12-01,3076.6
2013-01-01,3259.734613
2013-02-01,3193.701628
2013-03-01,3643.786699
2013-04-01,3409.08384
2013-05-01,3486.139351
2013-06-01,3659.215161
2013-07-01,3510.712736
2013-08-01,3572.540057
2013-09-01,3499.955745
2013-10-01,3839.680581
2013-11-01,3097.205115
2013-12-01,3009.010405
2014-01-01,2871.873698
2014-02-01,2838.781453
2014-03-01,3450.135931
2014-04-01,3597.007009
2014-05-01,3601.574068
2014-06-01,3462.395796
2014-07-01,3364.117547
2014-08-01,3704.977775
2014-09-01,3390.268464
2014-10-01,3740.11649
2014-11-01,3169.561116
2014-12-01,3220.025348
2015-01-01,2991.946415
2015-02-01,3212.234403
2015-03-01,3745.843643
2015-04-01,3549.415951
2015-05-01,3408.225407
2015-06-01,3320.787727
2015-07-01,3373.460044
2015-08-01,3212.695479
2015-09-01,3308.832581
2015-10-01,3264.650371
2015-11-01,3194.218757
2015-12-01,2857.045222
2016-01-01,2882.906403
2016-02-01,2916.985092
2016-03-01,3134.180146
2016-04-01,2964.170759
2016-05-01,2985.020636
2016-06-01,3300.160378
2016-07-01,2670.435373
2016-08-01,3039.870338
2016-09-01,3048.473231
2016-10-01,3416.421561
2016-11-01,3055.646232
2016-12-01,3038.304687
2017-01-01,3009.189215
2017-02-01,2854.089825
2017-03-01,3526.454362
2017-04-01,3226.987013
2017-05-01,3260.960042
2017-06-01,3206.091088
2017-07-01,3021.728228
2017-08-01,3415.615245
2017-09-01,3407.680582
2017-10-01,3441.870988
2017-11-01,3137.470539
2017-12-01,3160.405367
2018-01-01,3223.346362
2018-02-01,3185.371675
2018-03-01,3483.259417
2018-04-01,3575.145627
2018-05-01,3461.939984
2018-06-01,3361.472381
2018-07-01,3345.764239
2018-08-01,3677.500001
2018-09-01,3416.081867
2018-10-01,3683.721309
2018-11-01,3272.481607
2018-12-01,3506.551368
2019-01-01,3351.120127
2019-02-01,3294.439479
2019-03-01,4167.148963
2019-04-01,3683.755033
2019-05-01,3814.736079
2019-06-01,3745.153083
2019-07-01,3203.382433
2019-08-01,3709.92895
2019-09-01,3544.696569
2019-10-01,3504.728977
