DATE,EXPTOTWA
1995-08-01,1802.6
1995-09-01,1571.8
1995-10-01,1651.6
1995-11-01,1636.6
1995-12-01,1990.6
1996-01-01,1509.9
1996-02-01,2186.0
1996-03-01,2258.6
1996-04-01,2387.7
1996-05-01,2740.6
1996-06-01,2501.2
1996-07-01,1804.5
1996-08-01,2176.0
1996-09-01,1493.5
1996-10-01,2702.5
1996-11-01,2167.4
1996-12-01,2554.4
1997-01-01,2166.4
1997-02-01,2801.0
1997-03-01,3523.3
1997-04-01,3219.3
1997-05-01,3154.4
1997-06-01,2680.0
1997-07-01,2816.3
1997-08-01,2135.5
1997-09-01,2260.0
1997-10-01,2169.5
1997-11-01,1982.1
1997-12-01,3843.9
1998-01-01,2591.7
1998-02-01,2875.4
1998-03-01,3904.0
1998-04-01,2739.8
1998-05-01,3228.4
1998-06-01,3110.7
1998-07-01,2664.6
1998-08-01,2237.2
1998-09-01,3428.2
1998-10-01,3428.9
1998-11-01,3217.7
1998-12-01,4822.6
1999-01-01,3278.3
1999-02-01,2858.4
1999-03-01,3803.8
1999-04-01,3303.0
1999-05-01,3047.7
1999-06-01,2976.3
1999-07-01,1921.0
1999-08-01,3230.9
1999-09-01,2642.9
1999-10-01,2881.0
1999-11-01,2622.8
1999-12-01,4164.5
2000-01-01,2727.3
2000-02-01,2275.0
2000-03-01,1948.6
2000-04-01,2920.8
2000-05-01,3510.3
2000-06-01,3195.1
2000-07-01,2152.8
2000-08-01,2462.1
2000-09-01,2552.9
2000-10-01,2755.8
2000-11-01,2614.7
2000-12-01,3099.5
2001-01-01,1950.7
2001-02-01,3330.3
2001-03-01,4033.7
2001-04-01,3159.6
2001-05-01,3189.8
2001-06-01,3154.8
2001-07-01,2378.6
2001-08-01,2609.9
2001-09-01,2583.7
2001-10-01,3137.1
2001-11-01,2915.9
2001-12-01,2484.7
2002-01-01,2370.6
2002-02-01,2501.6
2002-03-01,3733.5
2002-04-01,2882.3
2002-05-01,2827.7
2002-06-01,3305.6
2002-07-01,3110.0
2002-08-01,2715.2
2002-09-01,2620.5
2002-10-01,3200.0
2002-11-01,2727.0
2002-12-01,2632.4
2003-01-01,1885.1
2003-02-01,3207.4
2003-03-01,3072.4
2003-04-01,2816.4
2003-05-01,2711.5
2003-06-01,3014.4
2003-07-01,2798.9
2003-08-01,2541.6
2003-09-01,2415.5
2003-10-01,3337.9
2003-11-01,3592.0
2003-12-01,2779.7
2004-01-01,2110.7
2004-02-01,2837.6
2004-03-01,2942.2
2004-04-01,2445.9
2004-05-01,3016.3
2004-06-01,2820.5
2004-07-01,2862.8
2004-08-01,2997.9
2004-09-01,2573.5
2004-10-01,3226.6
2004-11-01,2813.6
2004-12-01,3117.5
2005-01-01,2051.6
2005-02-01,2175.8
2005-03-01,3470.2
2005-04-01,4252.8
2005-05-01,2482.9
2005-06-01,3705.6
2005-07-01,3434.7
2005-08-01,4244.7
2005-09-01,1823.4
2005-10-01,3377.5
2005-11-01,3665.4
2005-12-01,3263.8
2006-01-01,3573.5
2006-02-01,4191.8
2006-03-01,5065.8
2006-04-01,3651.6
2006-05-01,4113.0
2006-06-01,4559.3
2006-07-01,3621.8
2006-08-01,4671.7
2006-09-01,4545.9
2006-10-01,4651.4
2006-11-01,5410.0
2006-12-01,5019.0
2007-01-01,4381.0
2007-02-01,4719.2
2007-03-01,5089.9
2007-04-01,4734.5
2007-05-01,5443.4
2007-06-01,5901.6
2007-07-01,5579.3
2007-08-01,5964.8
2007-09-01,5056.3
2007-10-01,6976.5
2007-11-01,6225.1
2007-12-01,6186.7
2008-01-01,5426.0
2008-02-01,6494.2
2008-03-01,6514.7
2008-04-01,5758.5
2008-05-01,7114.7
2008-06-01,6340.1
2008-07-01,5923.9
2008-08-01,7077.9
2008-09-01,3356.2
2008-10-01,3966.2
2008-11-01,3415.8
2008-12-01,5496.6
2009-01-01,4051.5
2009-02-01,3932.7
2009-03-01,4361.9
2009-04-01,4126.3
2009-05-01,4334.3
2009-06-01,4062.8
2009-07-01,3898.8
2009-08-01,3615.6
2009-09-01,3840.7
2009-10-01,5011.8
2009-11-01,4491.7
2009-12-01,6011.2
2010-01-01,4323.2
2010-02-01,4162.2
2010-03-01,4372.8
2010-04-01,4051.9
2010-05-01,3743.8
2010-06-01,4162.7
2010-07-01,4842.8
2010-08-01,3789.0
2010-09-01,3897.7
2010-10-01,4874.7
2010-11-01,5236.6
2010-12-01,5786.4
2011-01-01,4112.0
2011-02-01,5244.9
2011-03-01,5093.8
2011-04-01,5084.4
2011-05-01,5113.0
2011-06-01,5528.0
2011-07-01,5529.4
2011-08-01,5576.0
2011-09-01,5069.4
2011-10-01,6126.6
2011-11-01,5703.6
2011-12-01,6451.3
2012-01-01,5219.8
2012-02-01,6363.6
2012-03-01,6471.2
2012-04-01,5790.7
2012-05-01,5857.4
2012-06-01,5399.2
2012-07-01,6082.8
2012-08-01,6549.0
2012-09-01,6769.9
2012-10-01,6953.3
2012-11-01,6604.3
2012-12-01,7463.3
2013-01-01,6016.343399
2013-02-01,5778.650862
2013-03-01,7239.173323
2013-04-01,5109.849433
2013-05-01,7541.35873
2013-06-01,6969.85331
2013-07-01,5871.341494
2013-08-01,7210.336962
2013-09-01,7337.474589
2013-10-01,7453.916518
2013-11-01,7608.615566
2013-12-01,7493.063744
2014-01-01,6748.30081
2014-02-01,6468.782318
2014-03-01,8072.331161
2014-04-01,6925.215259
2014-05-01,7530.293077
2014-06-01,7452.419059
2014-07-01,7579.169538
2014-08-01,7531.417657
2014-09-01,7211.305234
2014-10-01,8657.103367
2014-11-01,7734.470739
2014-12-01,8647.460566
2015-01-01,6608.217153
2015-02-01,6560.896873
2015-03-01,8178.009874
2015-04-01,7298.789517
2015-05-01,6801.020361
2015-06-01,7705.060304
2015-07-01,5976.502499
2015-08-01,7509.662896
2015-09-01,7551.291031
2015-10-01,7745.66002
2015-11-01,7847.559095
2015-12-01,6592.009952
2016-01-01,5485.983113
2016-02-01,5744.334293
2016-03-01,6730.374739
2016-04-01,6169.865931
2016-05-01,6396.28766
2016-06-01,7410.690114
2016-07-01,6494.620695
2016-08-01,6402.99276
2016-09-01,7562.569371
2016-10-01,6913.250293
2016-11-01,6611.913798
2016-12-01,7639.492704
2017-01-01,5210.073848
2017-02-01,5246.465831
2017-03-01,6565.20261
2017-04-01,6130.850805
2017-05-01,6222.173033
2017-06-01,6325.974705
2017-07-01,6332.460186
2017-08-01,6535.663191
2017-09-01,6508.992953
2017-10-01,5799.701892
2017-11-01,7334.826741
2017-12-01,8139.038102
2018-01-01,4797.241857
2018-02-01,4981.998884
2018-03-01,8122.89115
2018-04-01,5316.402491
2018-05-01,6857.339638
2018-06-01,7239.794572
2018-07-01,5579.958288
2018-08-01,6574.403996
2018-09-01,7795.0607
2018-10-01,6136.081412
2018-11-01,7371.995991
2018-12-01,7195.0525
2019-01-01,4917.351896
2019-02-01,5679.0552
2019-03-01,6411.000431
2019-04-01,4323.051963
2019-05-01,4406.509186
2019-06-01,5319.854561
2019-07-01,4991.041047
2019-08-01,4148.502693
2019-09-01,4150.521505
2019-10-01,4877.461536
